"","species.m","animal","class.m","long.m","mass.m","BMR","noct.m","volant.m","fossorial.m","forage.m","BMR.q"
"111","Dasypus_novemcinctus","Dasypus_novemcinctus","Mammalia",0.866000574360977,1.01878643948572,-1.28300839166525,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"112","Dasyuroides_byrnei","Dasyuroides_byrnei","Mammalia",-0.624617455668887,-0.435518775377873,-0.106653599128957,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"113","Dasyurus_geoffroii","Dasyurus_geoffroii","Mammalia",-0.995244959402316,0.349676677847005,-0.667452131091986,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"114","Dasyurus_hallucatus","Dasyurus_hallucatus","Mammalia",-1.06736166955757,0.155762899874334,-0.45411443074575,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"115","Dasyurus_maculatus","Dasyurus_maculatus","Mammalia",-0.860929015698314,1.01878643948572,-0.93261505286215,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"116","Heliosciurus_rufobrachium","Heliosciurus_rufobrachium","Mammalia",-0.502649113898986,-0.0187328406261911,-0.311995516942429,"crepuscular","nonvolant","nonfossorial","semiarboreal","good"
"117","Hemiechinus_auritus","Hemiechinus_auritus","Mammalia",-0.699200757769315,-0.00169328288933154,-0.778393137183561,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"118","Herpestes_javanicus","Herpestes_javanicus","Mammalia",0.436786649814047,0.310509971100234,-0.171062021833253,"cathemeral","nonvolant","nonfossorial","terrestrial","good"
"119","Heterocephalus_glaber","Heterocephalus_glaber","Mammalia",1.3449672548494,-0.83913130959108,-0.163765412403642,"cathemeral","nonvolant","fossorial","terrestrial","good"
"120","Hyaena_hyaena","Hyaena_hyaena","Mammalia",1.03218334804881,1.74772447835414,-1.68187906905637,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"121","Hydrochoerus_hydrochaeris","Hydrochoerus_hydrochaeris","Mammalia",0.299076022226522,1.86471927148742,-1.23927767241164,"crepuscular","nonvolant","nonfossorial","terrestrial","good"
"122","Hydromys_chrysogaster","Hydromys_chrysogaster","Mammalia",-0.757761246465401,0.33278248479723,-0.299373604733826,"cathemeral","nonvolant","nonfossorial","aquatic","good"
"123","Hystrix_africaeaustralis","Hystrix_africaeaustralis","Mammalia",0.917250129536521,1.56005533731514,-1.54003581938429,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"124","Isoodon_macrourus","Isoodon_macrourus","Mammalia",-0.860929015698314,0.565161127849724,-0.693962658946076,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"125","Isoodon_obesulus","Isoodon_obesulus","Mammalia",-0.926536637427575,0.261452679160108,-1.00263147353605,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
